"Step","brisk-dragon-19 - loss","brisk-dragon-19 - loss__MIN","brisk-dragon-19 - loss__MAX","brisk-dragon-19 - accuracy","true-firebrand-17 - loss","true-firebrand-17 - loss__MIN","true-firebrand-17 - loss__MAX","true-firebrand-17 - accuracy","true-firebrand-17 - accuracy__MIN","true-firebrand-17 - accuracy__MAX","cool-plasma-16 - loss","cool-plasma-16 - loss__MIN","cool-plasma-16 - loss__MAX","cool-plasma-16 - accuracy","cool-plasma-16 - accuracy__MIN","cool-plasma-16 - accuracy__MAX","deep-resonance-10 - loss","deep-resonance-10 - loss__MIN","deep-resonance-10 - loss__MAX","deep-resonance-10 - accuracy","deep-resonance-10 - accuracy__MIN","deep-resonance-10 - accuracy__MAX"
"1000","7.092495918273926","7.092495918273926","7.092495918273926","","7.886277675628662","7.886277675628662","7.886277675628662","","","","6.167982578277588","6.167982578277588","6.167982578277588","","","","8.569342613220215","8.569342613220215","8.569342613220215","","",""
"2000","5.165441036224365","5.165441036224365","5.165441036224365","","6.0571746826171875","6.0571746826171875","6.0571746826171875","","","","4.730533123016357","4.730533123016357","4.730533123016357","","","","6.832382678985596","6.832382678985596","6.832382678985596","","",""
"3000","4.645862102508545","4.645862102508545","4.645862102508545","","5.314432621002197","5.314432621002197","5.314432621002197","","","","4.451817989349365","4.451817989349365","4.451817989349365","","","","5.92124080657959","5.92124080657959","5.92124080657959","","",""
"4000","4.366122722625732","4.366122722625732","4.366122722625732","","4.901069164276123","4.901069164276123","4.901069164276123","","","","4.289820194244385","4.289820194244385","4.289820194244385","","","","5.387080192565918","5.387080192565918","5.387080192565918","","",""
"5000","4.157112121582031","4.157112121582031","4.157112121582031","","4.636308193206787","4.636308193206787","4.636308193206787","","","","4.151598930358887","4.151598930358887","4.151598930358887","","","","5.018740653991699","5.018740653991699","5.018740653991699","","",""
"5001","","","","Infinity","","","","4.4840658168600065","4.4840658168600065","4.4840658168600065","","","","0.003908856923274553","0.003908856923274553","0.003908856923274553","","","","","",""
"6000","3.9762065410614014","3.9762065410614014","3.9762065410614014","","4.441296100616455","4.441296100616455","4.441296100616455","","","","4.0100417137146","4.0100417137146","4.0100417137146","","","","4.752626895904541","4.752626895904541","4.752626895904541","","",""
"7000","3.829446315765381","3.829446315765381","3.829446315765381","","4.288590431213379","4.288590431213379","4.288590431213379","","","","3.8970580101013184","3.8970580101013184","3.8970580101013184","","","","4.549983024597168","4.549983024597168","4.549983024597168","","",""
"8000","3.7215943336486816","3.7215943336486816","3.7215943336486816","","4.168060779571533","4.168060779571533","4.168060779571533","","","","3.807812213897705","3.807812213897705","3.807812213897705","","","","4.38989782333374","4.38989782333374","4.38989782333374","","",""
"9000","3.6336326599121094","3.6336326599121094","3.6336326599121094","","4.061411380767822","4.061411380767822","4.061411380767822","","","","3.733919382095337","3.733919382095337","3.733919382095337","","","","4.262790203094482","4.262790203094482","4.262790203094482","","",""
"10000","3.5627379417419434","3.5627379417419434","3.5627379417419434","","3.9709150791168213","3.9709150791168213","3.9709150791168213","","","","3.6691601276397705","3.6691601276397705","3.6691601276397705","","","","4.155040264129639","4.155040264129639","4.155040264129639","","",""
"10001","","","","Infinity","","","","3.9178056813249684","3.9178056813249684","3.9178056813249684","","","","0.003527916417205708","0.003527916417205708","0.003527916417205708","","","","0.003990590748946091","0.003990590748946091","0.003990590748946091"
"11000","3.5009021759033203","3.5009021759033203","3.5009021759033203","","3.8916399478912354","3.8916399478912354","3.8916399478912354","","","","3.6134884357452393","3.6134884357452393","3.6134884357452393","","","","4.062283039093018","4.062283039093018","4.062283039093018","","",""
"12000","3.44925856590271","3.44925856590271","3.44925856590271","","3.8101608753204346","3.8101608753204346","3.8101608753204346","","","","3.5635576248168945","3.5635576248168945","3.5635576248168945","","","","3.9846317768096924","3.9846317768096924","3.9846317768096924","","",""
"13000","3.400566577911377","3.400566577911377","3.400566577911377","","3.7255847454071045","3.7255847454071045","3.7255847454071045","","","","3.518326759338379","3.518326759338379","3.518326759338379","","","","3.907621383666992","3.907621383666992","3.907621383666992","","",""
"14000","3.354207754135132","3.354207754135132","3.354207754135132","","3.6462039947509766","3.6462039947509766","3.6462039947509766","","","","3.478505849838257","3.478505849838257","3.478505849838257","","","","3.8231699466705322","3.8231699466705322","3.8231699466705322","","",""
"15000","3.312843084335327","3.312843084335327","3.312843084335327","","3.5805087089538574","3.5805087089538574","3.5805087089538574","","","","3.4422268867492676","3.4422268867492676","3.4422268867492676","","","","3.7536256313323975","3.7536256313323975","3.7536256313323975","","",""
"15001","","","","Infinity","","","","3.5951858674636994","3.5951858674636994","3.5951858674636994","","","","0.0033919561763961583","0.0033919561763961583","0.0033919561763961583","","","","","",""
"16000","3.2787926197052","3.2787926197052","3.2787926197052","","3.5234458446502686","3.5234458446502686","3.5234458446502686","","","","3.410327672958374","3.410327672958374","3.410327672958374","","","","3.6826443672180176","3.6826443672180176","3.6826443672180176","","",""
"17000","3.242830991744995","3.242830991744995","3.242830991744995","","3.4714255332946777","3.4714255332946777","3.4714255332946777","","","","3.3767783641815186","3.3767783641815186","3.3767783641815186","","","","3.6226658821105957","3.6226658821105957","3.6226658821105957","","",""
"18000","3.203354597091675","3.203354597091675","3.203354597091675","","3.419034242630005","3.419034242630005","3.419034242630005","","","","3.3373641967773438","3.3373641967773438","3.3373641967773438","","","","3.5645103454589844","3.5645103454589844","3.5645103454589844","","",""
"19000","3.1733810901641846","3.1733810901641846","3.1733810901641846","","3.3729803562164307","3.3729803562164307","3.3729803562164307","","","","3.314927101135254","3.314927101135254","3.314927101135254","","","","3.516768455505371","3.516768455505371","3.516768455505371","","",""
"20000","3.143902063369751","3.143902063369751","3.143902063369751","","3.3340234756469727","3.3340234756469727","3.3340234756469727","","","","3.2843515872955322","3.2843515872955322","3.2843515872955322","","","","3.474581480026245","3.474581480026245","3.474581480026245","","",""
"20001","","","","Infinity","","","","3.456412267203283","3.456412267203283","3.456412267203283","","","","0.0033346086864106013","0.0033346086864106013","0.0033346086864106013","","","","0.0034766914296851855","0.0034766914296851855","0.0034766914296851855"
"21000","3.1168618202209473","3.1168618202209473","3.1168618202209473","","3.294379711151123","3.294379711151123","3.294379711151123","","","","3.247471570968628","3.247471570968628","3.247471570968628","","","","3.4353277683258057","3.4353277683258057","3.4353277683258057","","",""
"22000","3.080116033554077","3.080116033554077","3.080116033554077","","3.2490828037261963","3.2490828037261963","3.2490828037261963","","","","3.2113888263702393","3.2113888263702393","3.2113888263702393","","","","3.39001202583313","3.39001202583313","3.39001202583313","","",""
"23000","3.0535528659820557","3.0535528659820557","3.0535528659820557","","3.2141878604888916","3.2141878604888916","3.2141878604888916","","","","3.179741621017456","3.179741621017456","3.179741621017456","","","","3.356147050857544","3.356147050857544","3.356147050857544","","",""
"24000","3.030545473098755","3.030545473098755","3.030545473098755","","3.1809794902801514","3.1809794902801514","3.1809794902801514","","","","3.1544432640075684","3.1544432640075684","3.1544432640075684","","","","3.3190975189208984","3.3190975189208984","3.3190975189208984","","",""
"25000","3.0040030479431152","3.0040030479431152","3.0040030479431152","","3.148024559020996","3.148024559020996","3.148024559020996","","","","3.123272180557251","3.123272180557251","3.123272180557251","","","","3.286752700805664","3.286752700805664","3.286752700805664","","",""
"25001","","","","Infinity","","","","3.40402252505524","3.40402252505524","3.40402252505524","","","","0.00331916485100237","0.00331916485100237","0.00331916485100237","","","","","",""
"26000","2.9750478267669678","2.9750478267669678","2.9750478267669678","","3.105746269226074","3.105746269226074","3.105746269226074","","","","3.0841925144195557","3.0841925144195557","3.0841925144195557","","","","3.2485899925231934","3.2485899925231934","3.2485899925231934","","",""
"27000","2.9527816772460938","2.9527816772460938","2.9527816772460938","","3.0734875202178955","3.0734875202178955","3.0734875202178955","","","","3.04805850982666","3.04805850982666","3.04805850982666","","","","3.217646360397339","3.217646360397339","3.217646360397339","","",""
"28000","2.9321491718292236","2.9321491718292236","2.9321491718292236","","3.041801929473877","3.041801929473877","3.041801929473877","","","","3.019050121307373","3.019050121307373","3.019050121307373","","","","3.189767599105835","3.189767599105835","3.189767599105835","","",""
"29000","2.91178560256958","2.91178560256958","2.91178560256958","","3.0125107765197754","3.0125107765197754","3.0125107765197754","","","","2.9905736446380615","2.9905736446380615","2.9905736446380615","","","","3.160229444503784","3.160229444503784","3.160229444503784","","",""
"30000","2.890132188796997","2.890132188796997","2.890132188796997","","2.972107410430908","2.972107410430908","2.972107410430908","","","","2.9491515159606934","2.9491515159606934","2.9491515159606934","","","","3.1262331008911133","3.1262331008911133","3.1262331008911133","","",""
"30001","","","","Infinity","","","","3.4255756416706125","3.4255756416706125","3.4255756416706125","","","","0.003378861284340744","0.003378861284340744","0.003378861284340744","","","","0.003393838585965275","0.003393838585965275","0.003393838585965275"
"31000","2.870664119720459","2.870664119720459","2.870664119720459","","2.9367101192474365","2.9367101192474365","2.9367101192474365","","","","2.911235809326172","2.911235809326172","2.911235809326172","","","","3.0943856239318848","3.0943856239318848","3.0943856239318848","","",""
"32000","2.855287790298462","2.855287790298462","2.855287790298462","","2.9050819873809814","2.9050819873809814","2.9050819873809814","","","","2.8805627822875977","2.8805627822875977","2.8805627822875977","","","","3.069395065307617","3.069395065307617","3.069395065307617","","",""
"33000","","","","","2.876453399658203","2.876453399658203","2.876453399658203","","","","2.8517274856567383","2.8517274856567383","2.8517274856567383","","","","3.04559588432312","3.04559588432312","3.04559588432312","","",""
"34000","","","","","2.8411598205566406","2.8411598205566406","2.8411598205566406","","","","2.8132271766662598","2.8132271766662598","2.8132271766662598","","","","3.0163042545318604","3.0163042545318604","3.0163042545318604","","",""
"35000","","","","","2.8003122806549072","2.8003122806549072","2.8003122806549072","","","","2.7723047733306885","2.7723047733306885","2.7723047733306885","","","","2.9836697578430176","2.9836697578430176","2.9836697578430176","","",""
"35001","","","","","","","","3.4850204930160986","3.4850204930160986","3.4850204930160986","","","","0.0034503816969658862","0.0034503816969658862","0.0034503816969658862","","","","","",""
"36000","","","","","2.7723968029022217","2.7723968029022217","2.7723968029022217","","","","2.7466912269592285","2.7466912269592285","2.7466912269592285","","","","2.962486982345581","2.962486982345581","2.962486982345581","","",""
"37000","","","","","2.7452733516693115","2.7452733516693115","2.7452733516693115","","","","2.722914934158325","2.722914934158325","2.722914934158325","","","","2.939152717590332","2.939152717590332","2.939152717590332","","",""
"38000","","","","","2.713444471359253","2.713444471359253","2.713444471359253","","","","2.6926534175872803","2.6926534175872803","2.6926534175872803","","","","2.9152276515960693","2.9152276515960693","2.9152276515960693","","",""
"39000","","","","","2.6705679893493652","2.6705679893493652","2.6705679893493652","","","","2.6488564014434814","2.6488564014434814","2.6488564014434814","","","","2.880835771560669","2.880835771560669","2.880835771560669","","",""
"40000","","","","","2.6455600261688232","2.6455600261688232","2.6455600261688232","","","","2.6246469020843506","2.6246469020843506","2.6246469020843506","","","","2.860138416290283","2.860138416290283","2.860138416290283","","",""
"40001","","","","","","","","3.5712227869515467","3.5712227869515467","3.5712227869515467","","","","0.00351736274793076","0.00351736274793076","0.00351736274793076","","","","0.0034544861695758444","0.0034544861695758444","0.0034544861695758444"
"41000","","","","","2.618865966796875","2.618865966796875","2.618865966796875","","","","2.6024487018585205","2.6024487018585205","2.6024487018585205","","","","2.8412516117095947","2.8412516117095947","2.8412516117095947","","",""
"42000","","","","","2.5921244621276855","2.5921244621276855","2.5921244621276855","","","","2.5752861499786377","2.5752861499786377","2.5752861499786377","","","","2.8202052116394043","2.8202052116394043","2.8202052116394043","","",""
"43000","","","","","2.548678398132324","2.548678398132324","2.548678398132324","","","","2.5334904193878174","2.5334904193878174","2.5334904193878174","","","","2.7848174571990967","2.7848174571990967","2.7848174571990967","","",""
"44000","","","","","2.5229108333587646","2.5229108333587646","2.5229108333587646","","","","2.5125303268432617","2.5125303268432617","2.5125303268432617","","","","2.7657470703125","2.7657470703125","2.7657470703125","","",""
