Step,expert-glitter-124 - accuracy,expert-glitter-124 - accuracy__MIN,expert-glitter-124 - accuracy__MAX,lively-dream-103 - accuracy,lively-dream-103 - accuracy__MIN,lively-dream-103 - accuracy__MAX,chocolate-armadillo-72 - accuracy,chocolate-armadillo-72 - accuracy__MIN,chocolate-armadillo-72 - accuracy__MAX,peach-dew-71 - accuracy,peach-dew-71 - accuracy__MIN,peach-dew-71 - accuracy__MAX
401,,,,0.3812,0.3812,0.3812,,,,,,
801,,,,0.429,0.429,0.429,,,,,,
1001,,,,,,,0.3997,0.3997,0.3997,0.3443,0.3443,0.3443
1201,,,,0.4806,0.4806,0.4806,,,,,,
1601,,,,0.5194,0.5194,0.5194,,,,,,
2001,,,,0.5517,0.5517,0.5517,0.4344,0.4344,0.4344,0.2052,0.2052,0.2052
2401,,,,0.5598,0.5598,0.5598,,,,,,
2801,,,,0.5803,0.5803,0.5803,,,,,,
3001,,,,,,,0.444,0.444,0.444,0.2209,0.2209,0.2209
3201,,,,0.5962,0.5962,0.5962,,,,,,
3601,,,,0.6317,0.6317,0.6317,,,,,,
3901,0.6127,0.6127,0.6127,,,,,,,,,
4001,,,,0.6431,0.6431,0.6431,0.4812,0.4812,0.4812,0.2175,0.2175,0.2175
4401,,,,0.6584,0.6584,0.6584,,,,,,
4801,,,,0.6641,0.6641,0.6641,,,,,,
5001,,,,,,,0.4827,0.4827,0.4827,0.1957,0.1957,0.1957
5201,,,,0.6611,0.6611,0.6611,,,,,,
5601,,,,0.6743,0.6743,0.6743,,,,,,
6001,,,,0.6698,0.6698,0.6698,0.5223,0.5223,0.5223,0.2081,0.2081,0.2081
6401,,,,0.6786,0.6786,0.6786,,,,,,
6801,,,,0.6812,0.6812,0.6812,,,,,,
7001,,,,,,,0.5419,0.5419,0.5419,0.2177,0.2177,0.2177
7201,,,,0.6889,0.6889,0.6889,,,,,,
7601,,,,0.6852,0.6852,0.6852,,,,,,
7801,0.7045,0.7045,0.7045,,,,,,,,,
8001,,,,0.6896,0.6896,0.6896,0.551,0.551,0.551,0.2269,0.2269,0.2269
8401,,,,0.694,0.694,0.694,,,,,,
8801,,,,0.6957,0.6957,0.6957,,,,,,
9001,,,,,,,0.5688,0.5688,0.5688,0.2284,0.2284,0.2284
9201,,,,0.6979,0.6979,0.6979,,,,,,
9601,,,,0.6994,0.6994,0.6994,,,,,,
10001,,,,0.6973,0.6973,0.6973,0.5707,0.5707,0.5707,0.2119,0.2119,0.2119
11001,,,,,,,0.5885,0.5885,0.5885,0.2246,0.2246,0.2246
11701,0.7469,0.7469,0.7469,,,,,,,,,
12001,,,,,,,0.5915,0.5915,0.5915,0.2169,0.2169,0.2169
13001,,,,,,,0.594,0.594,0.594,0.2151,0.2151,0.2151
14001,,,,,,,0.6005,0.6005,0.6005,0.2261,0.2261,0.2261
15001,,,,,,,0.5961,0.5961,0.5961,0.2256,0.2256,0.2256
15601,0.7612,0.7612,0.7612,,,,,,,,,
16001,,,,,,,0.6083,0.6083,0.6083,0.2203,0.2203,0.2203
17001,,,,,,,0.6036,0.6036,0.6036,0.2219,0.2219,0.2219
